Number,r_start [m],r_end [m],r_mean [m],TRIAX1 [m],UNIAX1 [m],BALSA [m],UNIAX2 [m],TRIAX2 [m]
1,2.8,3.664,3232,0.008,0.008,0,0.008,0.008
2,3.664,4.527,4095.5,0.008,0.008,0,0.008,0.008
3,4.527,5.391,4959,0.0079,0.0083,0,0.0083,0.0079
4,5.391,6.255,5823,0.0076,0.0091,0,0.0091,0.0076
5,6.255,7.118,6686.5,0.0072,0.0103,0,0.0103,0.0072
6,7.118,7.982,7550,0.0067,0.0118,0,0.0118,0.0067
7,7.982,8.846,8414,0.0061,0.0137,0,0.0137,0.0061
8,8.846,9.709,9277.5,0.0054,0.0157,0,0.0157,0.0054
9,9.709,10.573,10141,0.0047,0.0179,0,0.0179,0.0047
10,10.573,11.437,11005,0.004,0.0202,0,0.0202,0.004
11,11.437,12.3,11868.5,0.0033,0.0225,0,0.0225,0.0033
12,12.3,13.164,12732,0.0025,0.0248,0,0.0248,0.0025
13,13.164,14.028,13596,0.0019,0.027,0,0.027,0.0019
14,14.028,14.891,14459.5,0.0013,0.029,0,0.029,0.0013
15,14.891,15.755,15323,0.0008,0.0309,0,0.0309,0.0008
16,15.755,16.619,16187,0.0004,0.0324,0,0.0324,0.0004
17,16.619,17.482,17050.5,0.0001,0.0336,0,0.0336,0.0001
18,17.482,18.346,17914,0,0.0344,0,0.0344,0
19,18.346,19.21,18778,0,0.0349,0,0.0349,0
20,19.21,20.073,19641.5,0,0.0353,0,0.0353,0
21,20.073,20.937,20505,0,0.0358,0,0.0358,0
22,20.937,21.801,21369,0,0.0363,0,0.0363,0
23,21.801,22.664,22232.5,0,0.0367,0,0.0367,0
24,22.664,23.528,23096,0,0.0371,0,0.0371,0
25,23.528,24.392,23960,0,0.0375,0,0.0375,0
26,24.392,25.255,24823.5,0,0.0379,0,0.0379,0
27,25.255,26.119,25687,0,0.0383,0,0.0383,0
28,26.119,26.982,26550.5,0,0.0387,0,0.0387,0
29,26.982,27.846,27414,0,0.039,0,0.039,0
30,27.846,28.71,28278,0,0.0393,0,0.0393,0
31,28.71,29.573,29141.5,0,0.0396,0,0.0396,0
32,29.573,30.437,30005,0,0.0399,0,0.0399,0
33,30.437,31.301,30869,0,0.0402,0,0.0402,0
34,31.301,32.164,31732.5,0,0.0404,0,0.0404,0
35,32.164,33.028,32596,0,0.0406,0,0.0406,0
36,33.028,33.892,33460,0,0.0408,0,0.0408,0
37,33.892,34.755,34323.5,0,0.041,0,0.041,0
38,34.755,35.619,35187,0,0.0411,0,0.0411,0
39,35.619,36.483,36051,0,0.0413,0,0.0413,0
40,36.483,37.346,36914.5,0,0.0414,0,0.0414,0
41,37.346,38.21,37778,0,0.0415,0,0.0415,0
42,38.21,39.074,38642,0,0.0415,0,0.0415,0
43,39.074,39.937,39505.5,0,0.0415,0,0.0415,0
44,39.937,40.801,40369,0,0.0415,0,0.0415,0
45,40.801,41.665,41233,0,0.0415,0,0.0415,0
46,41.665,42.528,42096.5,0,0.0415,0,0.0415,0
47,42.528,43.392,42960,0,0.0414,0,0.0414,0
48,43.392,44.256,43824,0,0.0412,0,0.0412,0
49,44.256,45.119,44687.5,0,0.0411,0,0.0411,0
50,45.119,45.983,45551,0,0.0409,0,0.0409,0
51,45.983,46.847,46415,0,0.0408,0,0.0408,0
52,46.847,47.71,47278.5,0,0.0406,0,0.0406,0
53,47.71,48.574,48142,0,0.0403,0,0.0403,0
54,48.574,49.438,49006,0,0.0401,0,0.0401,0
55,49.438,50.301,49869.5,0,0.0398,0,0.0398,0
56,50.301,51.165,50733,0,0.0396,0,0.0396,0
57,51.165,52.029,51597,0,0.0393,0,0.0393,0
58,52.029,52.892,52460.5,0,0.039,0,0.039,0
59,52.892,53.756,53324,0,0.0387,0,0.0387,0
60,53.756,54.62,54188,0,0.0384,0,0.0384,0
61,54.62,55.483,55051.5,0,0.0381,0,0.0381,0
62,55.483,56.347,55915,0,0.0378,0,0.0378,0
63,56.347,57.211,56779,0,0.0374,0,0.0374,0
64,57.211,58.074,57642.5,0,0.0371,0,0.0371,0
65,58.074,58.938,58506,0,0.0367,0,0.0367,0
66,58.938,59.802,59370,0,0.0362,0,0.0362,0
67,59.802,60.665,60233.5,0,0.0357,0,0.0357,0
68,60.665,61.529,61097,0,0.0352,0,0.0352,0
69,61.529,62.393,61961,0,0.0346,0,0.0346,0
70,62.393,63.256,62824.5,0,0.034,0,0.034,0
71,63.256,64.12,63688,0,0.0334,0,0.0334,0
72,64.12,64.984,64552,0,0.0327,0,0.0327,0
73,64.984,65.847,65415.5,0,0.032,0,0.032,0
74,65.847,66.711,66279,0,0.0313,0,0.0313,0
75,66.711,67.575,67143,0,0.0305,0,0.0305,0
76,67.575,68.438,68006.5,0,0.0297,0,0.0297,0
77,68.438,69.302,68870,0,0.0288,0,0.0288,0
78,69.302,70.165,69733.5,0,0.0279,0,0.0279,0
79,70.165,71.029,70597,0,0.027,0,0.027,0
80,71.029,71.893,71461,0,0.0261,0,0.0261,0
81,71.893,72.756,72324.5,0,0.0251,0,0.0251,0
82,72.756,73.62,73188,0,0.0241,0,0.0241,0
83,73.62,74.484,74052,0,0.0231,0,0.0231,0
84,74.484,75.347,74915.5,0,0.022,0,0.022,0
