xj,xj+1,cj1,cj2,cj3,cj4
2.8,8.196,0.00E+00,0.00E+00,0.00E+00,5.38E+00
8.196,19.9548,-4.61E-04,1.04E-02,0.00E+00,5.38E+00
19.9548,28.0124,9.54E-05,-5.85E-03,5.38E-02,6.07E+00
28.0124,38.222,7.94E-05,-3.54E-03,-2.19E-02,6.17E+00
38.222,55.0271,2.42E-05,-1.11E-03,-6.95E-02,5.67E+00
55.0271,70.0576,8.60E-06,1.11E-04,-8.63E-02,4.30E+00
70.0576,78.1586,4.71E-06,4.99E-04,-7.71E-02,3.06E+00
78.1586,85,-4.39E-04,6.14E-04,-6.81E-02,2.47E+00
85,86.2521,-1.33E-03,-8.40E-03,-1.21E-01,1.89E+00
86.2521,88.6595,-1.48E-02,-1.34E-02,-1.49E-01,1.72E+00
88.6595,88.9861,-6.80E+00,-1.20E-01,-4.70E-01,1.08E+00
88.9861,89.166,1.04E+01,-6.78E+00,-2.72E+00,6.79E-01
